IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
176.116.21.124,2086,80,false,LHR,Europe,London,161,0.00
176.116.21.36,2053,80,false,LHR,Europe,London,161,0.00
176.116.21.89,2086,80,false,LHR,Europe,London,161,0.00
176.116.21.105,2082,80,false,LHR,Europe,London,161,0.00
176.116.21.175,2096,80,false,LHR,Europe,London,161,0.00
176.116.21.88,2095,80,false,LHR,Europe,London,161,0.00
176.116.21.83,2082,80,false,LHR,Europe,London,161,0.00
176.116.21.132,2082,80,false,LHR,Europe,London,161,0.00
176.116.21.74,2082,80,false,LHR,Europe,London,161,0.00
176.116.21.136,2087,80,false,LHR,Europe,London,161,0.00
13.36.253.240,2096,80,false,CDG,Europe,Paris,161,0.00
176.116.21.93,2083,80,false,LHR,Europe,London,161,0.00
176.116.21.88,2052,80,false,LHR,Europe,London,161,0.00
176.116.21.105,2096,80,false,LHR,Europe,London,161,0.00
176.116.21.74,2087,80,false,LHR,Europe,London,161,0.00
176.116.21.100,2095,80,false,LHR,Europe,London,161,0.00
176.116.21.220,2052,80,false,LHR,Europe,London,161,0.00
176.116.21.152,2052,80,false,LHR,Europe,London,161,0.00
176.116.21.124,2083,80,false,LHR,Europe,London,161,0.00
176.116.21.157,2095,80,false,LHR,Europe,London,161,0.00
176.116.21.139,2096,80,false,LHR,Europe,London,161,0.00
176.116.21.157,2083,80,false,LHR,Europe,London,161,0.00
176.116.21.131,2083,80,false,LHR,Europe,London,161,0.00
176.116.21.105,2087,80,false,LHR,Europe,London,161,0.00
176.116.21.19,2052,80,false,LHR,Europe,London,161,0.00
176.116.21.157,2052,80,false,LHR,Europe,London,161,0.00
176.116.21.90,2052,80,false,LHR,Europe,London,161,0.00
176.116.21.116,2053,80,false,LHR,Europe,London,161,0.00
176.116.21.101,2052,80,false,LHR,Europe,London,162,0.00
176.116.21.188,2096,80,false,LHR,Europe,London,162,0.00
176.116.21.220,2095,80,false,LHR,Europe,London,162,0.00
176.116.21.141,2053,80,false,LHR,Europe,London,162,0.00
13.36.162.145,2082,80,false,CDG,Europe,Paris,162,0.00
176.116.21.136,2086,80,false,LHR,Europe,London,162,0.00
176.116.21.141,2096,80,false,LHR,Europe,London,162,0.00
176.116.21.105,2086,80,false,LHR,Europe,London,162,0.00
13.36.162.145,2053,80,false,CDG,Europe,Paris,162,0.00
176.116.21.100,2053,80,false,LHR,Europe,London,162,0.00
176.116.21.97,2053,80,false,LHR,Europe,London,162,0.00
13.36.24.111,2086,80,false,CDG,Europe,Paris,162,0.00
176.116.21.100,2096,80,false,LHR,Europe,London,162,0.00
176.116.21.32,2053,80,false,LHR,Europe,London,162,0.00
176.116.21.97,2087,80,false,LHR,Europe,London,162,0.00
176.116.21.232,2053,80,false,LHR,Europe,London,162,0.00
176.116.21.136,2096,80,false,LHR,Europe,London,162,0.00
13.36.162.145,2087,80,false,CDG,Europe,Paris,162,0.00
13.36.24.111,2096,80,false,CDG,Europe,Paris,162,0.00
176.116.21.152,2086,80,false,LHR,Europe,London,162,0.00
176.116.21.116,2083,80,false,LHR,Europe,London,162,0.00
176.116.21.142,2053,80,false,LHR,Europe,London,162,0.00
176.116.21.100,2083,80,false,LHR,Europe,London,162,0.00
176.116.21.157,2086,80,false,LHR,Europe,London,162,0.00
176.116.21.140,2096,80,false,LHR,Europe,London,163,0.00
176.116.21.36,2082,80,false,LHR,Europe,London,163,0.00
176.116.21.41,2052,80,false,LHR,Europe,London,163,0.00
176.116.21.132,2095,80,false,LHR,Europe,London,163,0.00
176.116.21.75,2096,80,false,LHR,Europe,London,163,0.00
13.36.63.124,2096,80,false,CDG,Europe,Paris,163,0.00
176.116.21.132,2053,80,false,LHR,Europe,London,163,0.00
176.116.21.75,2083,80,false,LHR,Europe,London,163,0.00
176.116.21.77,2082,80,false,LHR,Europe,London,163,0.00
176.116.21.137,2096,80,false,LHR,Europe,London,163,0.00
176.116.21.124,2082,80,false,LHR,Europe,London,163,0.00
176.116.21.152,2053,80,false,LHR,Europe,London,163,0.00
176.116.21.32,2052,80,false,LHR,Europe,London,163,0.00
176.116.21.103,2083,80,false,LHR,Europe,London,163,0.00
176.116.21.84,2086,80,false,LHR,Europe,London,163,0.00
176.116.21.75,2053,80,false,LHR,Europe,London,163,0.00
176.116.21.108,2096,80,false,LHR,Europe,London,163,0.00
176.116.21.147,2096,80,false,LHR,Europe,London,163,0.00
176.116.21.124,2087,80,false,LHR,Europe,London,163,0.00
176.116.21.136,2095,80,false,LHR,Europe,London,163,0.00
176.116.21.220,2096,80,false,LHR,Europe,London,163,0.00
176.116.21.36,2083,80,false,LHR,Europe,London,163,0.00
176.116.21.19,2095,80,false,LHR,Europe,London,163,0.00
176.116.21.180,2082,80,false,LHR,Europe,London,163,0.00
176.116.21.187,2053,80,false,LHR,Europe,London,163,0.00
176.116.21.108,2087,80,false,LHR,Europe,London,163,0.00
176.116.21.124,2095,80,false,LHR,Europe,London,163,0.00
176.116.21.73,2082,80,false,LHR,Europe,London,163,0.00
176.116.21.175,2052,80,false,LHR,Europe,London,163,0.00
176.116.21.175,2086,80,false,LHR,Europe,London,163,0.00
176.116.21.91,2052,80,false,LHR,Europe,London,163,0.00
176.116.21.88,2082,80,false,LHR,Europe,London,163,0.00
176.116.21.148,2082,80,false,LHR,Europe,London,163,0.00
176.116.21.98,2086,80,false,LHR,Europe,London,163,0.00
176.116.21.105,2083,80,false,LHR,Europe,London,163,0.00
176.116.21.134,2087,80,false,LHR,Europe,London,163,0.00
176.116.21.88,2096,80,false,LHR,Europe,London,163,0.00
176.116.21.82,2083,80,false,LHR,Europe,London,163,0.00
176.116.21.85,2052,80,false,LHR,Europe,London,163,0.00
176.116.21.107,2096,80,false,LHR,Europe,London,163,0.00
176.116.21.97,2083,80,false,LHR,Europe,London,163,0.00
176.116.21.123,2087,80,false,LHR,Europe,London,163,0.00
176.116.21.140,2053,80,false,LHR,Europe,London,163,0.00
176.116.21.109,2053,80,false,LHR,Europe,London,163,0.00
176.116.21.101,2083,80,false,LHR,Europe,London,163,0.00
176.116.21.109,2096,80,false,LHR,Europe,London,163,0.00
176.116.21.152,2095,80,false,LHR,Europe,London,163,0.00
176.116.21.88,2083,80,false,LHR,Europe,London,163,0.00
176.116.21.141,2083,80,false,LHR,Europe,London,163,0.00
176.116.21.81,2087,80,false,LHR,Europe,London,164,0.00
176.116.21.182,2095,80,false,LHR,Europe,London,164,0.00
176.116.21.142,2083,80,false,LHR,Europe,London,164,0.00
176.116.21.87,2082,80,false,LHR,Europe,London,164,0.00
176.116.21.98,2052,80,false,LHR,Europe,London,164,0.00
176.116.21.98,2087,80,false,LHR,Europe,London,164,0.00
176.116.21.74,2095,80,false,LHR,Europe,London,164,0.00
176.116.21.36,2086,80,false,LHR,Europe,London,164,0.00
13.36.24.111,2083,80,false,CDG,Europe,Paris,164,0.00
176.116.21.41,2087,80,false,LHR,Europe,London,165,0.00
13.36.162.145,2096,80,false,CDG,Europe,Paris,165,0.00
13.36.162.145,2052,80,false,CDG,Europe,Paris,165,0.00
176.116.21.232,2082,80,false,LHR,Europe,London,165,0.00
176.116.21.226,2086,80,false,LHR,Europe,London,165,0.00
13.36.24.111,2087,80,false,CDG,Europe,Paris,165,0.00
176.116.21.103,2053,80,false,LHR,Europe,London,165,0.00
176.116.21.32,2082,80,false,LHR,Europe,London,165,0.00
13.36.253.240,2082,80,false,CDG,Europe,Paris,165,0.00
176.116.21.73,2096,80,false,LHR,Europe,London,165,0.00
176.116.21.76,2052,80,false,LHR,Europe,London,165,0.00
176.116.21.103,2052,80,false,LHR,Europe,London,165,0.00
176.116.21.85,2083,80,false,LHR,Europe,London,165,0.00
176.116.21.159,2052,80,false,LHR,Europe,London,165,0.00
176.116.21.77,2087,80,false,LHR,Europe,London,165,0.00
13.36.253.240,2083,80,false,CDG,Europe,Paris,165,0.00
13.36.63.124,2086,80,false,CDG,Europe,Paris,165,0.00
176.116.21.180,2052,80,false,LHR,Europe,London,165,0.00
13.36.63.124,2087,80,false,CDG,Europe,Paris,165,0.00
176.116.21.186,2083,80,false,LHR,Europe,London,165,0.00
176.116.21.131,2053,80,false,LHR,Europe,London,165,0.00
176.116.21.96,2095,80,false,LHR,Europe,London,165,0.00
176.116.21.101,2082,80,false,LHR,Europe,London,165,0.00
176.116.21.95,2095,80,false,LHR,Europe,London,165,0.00
176.116.21.101,2087,80,false,LHR,Europe,London,165,0.00
176.116.21.103,2086,80,false,LHR,Europe,London,166,0.00
176.116.21.220,2087,80,false,LHR,Europe,London,166,0.00
176.116.21.80,2087,80,false,LHR,Europe,London,166,0.00
176.116.21.108,2052,80,false,LHR,Europe,London,166,0.00
176.116.21.132,2087,80,false,LHR,Europe,London,166,0.00
13.40.43.217,80,443,true,LHR,Europe,London,166,0.00
176.116.21.104,2086,80,false,LHR,Europe,London,166,0.00
176.116.21.93,2095,80,false,LHR,Europe,London,166,0.00
176.116.21.77,2096,80,false,LHR,Europe,London,166,0.00
176.116.21.100,2087,80,false,LHR,Europe,London,166,0.00
176.116.21.77,2083,80,false,LHR,Europe,London,166,0.00
176.116.21.123,2083,80,false,LHR,Europe,London,166,0.00
176.116.21.77,2095,80,false,LHR,Europe,London,166,0.00
176.116.21.152,2087,80,false,LHR,Europe,London,166,0.00
176.116.21.159,2086,80,false,LHR,Europe,London,166,0.00
176.116.21.146,2096,80,false,LHR,Europe,London,166,0.00
176.116.21.129,2087,80,false,LHR,Europe,London,166,0.00
176.116.21.142,2082,80,false,LHR,Europe,London,166,0.00
176.116.21.121,2052,80,false,LHR,Europe,London,166,0.00
176.116.21.136,2052,80,false,LHR,Europe,London,166,0.00
176.116.21.104,2096,80,false,LHR,Europe,London,166,0.00
176.116.21.152,2083,80,false,LHR,Europe,London,166,0.00
176.116.21.104,2053,80,false,LHR,Europe,London,166,0.00
176.116.21.141,2052,80,false,LHR,Europe,London,166,0.00
176.116.21.85,2053,80,false,LHR,Europe,London,166,0.00
176.116.21.138,2052,80,false,LHR,Europe,London,166,0.00
176.116.21.77,2052,80,false,LHR,Europe,London,166,0.00
176.116.21.73,2053,80,false,LHR,Europe,London,166,0.00
176.116.21.127,2052,80,false,LHR,Europe,London,166,0.00
176.116.21.81,2052,80,false,LHR,Europe,London,166,0.00
176.116.21.41,2086,80,false,LHR,Europe,London,166,0.00
176.116.21.161,2053,80,false,LHR,Europe,London,166,0.00
176.116.21.105,2052,80,false,LHR,Europe,London,166,0.00
176.116.21.98,2096,80,false,LHR,Europe,London,166,0.00
176.116.21.109,2052,80,false,LHR,Europe,London,167,0.00
176.116.21.100,2082,80,false,LHR,Europe,London,167,0.00
176.116.21.40,2052,80,false,LHR,Europe,London,167,0.00
176.116.21.109,2083,80,false,LHR,Europe,London,167,0.00
15.160.15.101,2052,80,false,MXP,Europe,Milan,167,0.00
176.116.21.186,2087,80,false,LHR,Europe,London,168,0.00
18.193.131.26,80,80,false,FRA,Europe,Frankfurt,172,0.00
176.116.21.19,2096,80,false,LHR,Europe,London,182,0.00
176.116.21.136,2083,80,false,LHR,Europe,London,182,0.00
176.116.21.175,2095,80,false,LHR,Europe,London,182,0.00
176.116.21.180,2053,80,false,LHR,Europe,London,182,0.00
176.116.21.127,2082,80,false,LHR,Europe,London,182,0.00
13.36.253.240,2086,80,false,CDG,Europe,Paris,182,0.00
176.116.21.14,2087,80,false,LHR,Europe,London,182,0.00
176.116.21.140,2095,80,false,LHR,Europe,London,182,0.00
13.36.63.124,2052,80,false,CDG,Europe,Paris,182,0.00
176.116.21.84,2096,80,false,LHR,Europe,London,182,0.00
176.116.21.123,2086,80,false,LHR,Europe,London,182,0.00
176.116.21.124,2053,80,false,LHR,Europe,London,182,0.00
176.116.21.131,2052,80,false,LHR,Europe,London,182,0.00
176.116.21.19,2086,80,false,LHR,Europe,London,183,0.00
176.116.21.108,2082,80,false,LHR,Europe,London,183,0.00
176.116.21.175,2082,80,false,LHR,Europe,London,183,0.00
176.116.21.78,2083,80,false,LHR,Europe,London,183,0.00
176.116.21.157,2082,80,false,LHR,Europe,London,183,0.00
176.116.21.81,2096,80,false,LHR,Europe,London,183,0.00
176.116.21.41,2053,80,false,LHR,Europe,London,183,0.00
176.116.21.141,2082,80,false,LHR,Europe,London,183,0.00
176.116.21.83,2053,80,false,LHR,Europe,London,183,0.00
176.116.21.127,2087,80,false,LHR,Europe,London,183,0.00
176.116.21.220,2083,80,false,LHR,Europe,London,183,0.00
176.116.21.151,2086,80,false,LHR,Europe,London,183,0.00
176.116.21.96,2087,80,false,LHR,Europe,London,183,0.00
176.116.21.102,2095,80,false,LHR,Europe,London,183,0.00
176.116.21.104,2052,80,false,LHR,Europe,London,183,0.00
176.116.21.83,2095,80,false,LHR,Europe,London,183,0.00
176.116.21.93,2082,80,false,LHR,Europe,London,183,0.00
176.116.21.36,2052,80,false,LHR,Europe,London,183,0.00
176.116.21.157,2053,80,false,LHR,Europe,London,183,0.00
176.116.21.142,2087,80,false,LHR,Europe,London,183,0.00
176.116.21.124,2096,80,false,LHR,Europe,London,184,0.00
13.36.162.145,2095,80,false,CDG,Europe,Paris,184,0.00
176.116.21.100,2052,80,false,LHR,Europe,London,184,0.00
176.116.21.132,2086,80,false,LHR,Europe,London,184,0.00
176.116.21.153,2087,80,false,LHR,Europe,London,184,0.00
176.116.21.152,2096,80,false,LHR,Europe,London,184,0.00
176.116.21.137,2087,80,false,LHR,Europe,London,184,0.00
176.116.21.123,2095,80,false,LHR,Europe,London,184,0.00
176.116.21.214,2086,80,false,LHR,Europe,London,185,0.00
176.116.21.94,2053,80,false,LHR,Europe,London,185,0.00
176.116.21.75,2086,80,false,LHR,Europe,London,185,0.00
176.116.21.19,2083,80,false,LHR,Europe,London,185,0.00
176.116.21.32,2086,80,false,LHR,Europe,London,185,0.00
176.116.21.141,2087,80,false,LHR,Europe,London,185,0.00
176.116.21.137,2086,80,false,LHR,Europe,London,185,0.00
176.116.21.124,2052,80,false,LHR,Europe,London,185,0.00
176.116.21.85,2082,80,false,LHR,Europe,London,185,0.00
13.51.138.200,2086,80,false,ARN,Europe,Stockholm,185,0.00
176.116.21.101,2053,80,false,LHR,Europe,London,185,0.00
176.116.21.86,2086,80,false,LHR,Europe,London,185,0.00
176.116.21.77,2086,80,false,LHR,Europe,London,185,0.00
176.116.21.180,2096,80,false,LHR,Europe,London,185,0.00
13.48.36.215,2086,80,false,ARN,Europe,Stockholm,185,0.00
13.49.6.192,2053,80,false,ARN,Europe,Stockholm,185,0.00
13.49.119.167,2053,80,false,ARN,Europe,Stockholm,185,0.00
13.48.36.215,2096,80,false,ARN,Europe,Stockholm,185,0.00
13.53.47.110,2095,80,false,ARN,Europe,Stockholm,185,0.00
13.36.24.111,2095,80,false,CDG,Europe,Paris,186,0.00
13.48.140.41,2096,80,false,ARN,Europe,Stockholm,186,0.00
13.49.6.192,2096,80,false,ARN,Europe,Stockholm,186,0.00
13.51.138.200,2096,80,false,ARN,Europe,Stockholm,186,0.00
13.48.140.41,2095,80,false,ARN,Europe,Stockholm,186,0.00
13.53.47.110,2083,80,false,ARN,Europe,Stockholm,186,0.00
13.51.138.200,2082,80,false,ARN,Europe,Stockholm,186,0.00
13.48.140.41,2053,80,false,ARN,Europe,Stockholm,186,0.00
13.51.138.200,2053,80,false,ARN,Europe,Stockholm,186,0.00
13.49.119.167,2096,80,false,ARN,Europe,Stockholm,186,0.00
13.48.36.215,2053,80,false,ARN,Europe,Stockholm,187,0.00
13.36.24.111,2082,80,false,CDG,Europe,Paris,187,0.00
176.116.21.93,2053,80,false,LHR,Europe,London,187,0.00
13.49.6.192,2095,80,false,ARN,Europe,Stockholm,187,0.00
13.48.36.215,2095,80,false,ARN,Europe,Stockholm,187,0.00
13.36.63.124,2095,80,false,CDG,Europe,Paris,187,0.00
176.116.21.19,2053,80,false,LHR,Europe,London,187,0.00
176.116.21.159,2082,80,false,LHR,Europe,London,187,0.00
13.51.138.200,2083,80,false,ARN,Europe,Stockholm,187,0.00
176.116.21.103,2096,80,false,LHR,Europe,London,187,0.00
176.116.21.108,2095,80,false,LHR,Europe,London,187,0.00
176.116.21.19,2082,80,false,LHR,Europe,London,187,0.00
13.48.36.215,2052,80,false,ARN,Europe,Stockholm,187,0.00
13.49.6.192,2087,80,false,ARN,Europe,Stockholm,187,0.00
13.48.36.215,2083,80,false,ARN,Europe,Stockholm,188,0.00
176.116.21.185,2096,80,false,LHR,Europe,London,188,0.00
13.49.119.167,2095,80,false,ARN,Europe,Stockholm,188,0.00
176.116.21.86,2096,80,false,LHR,Europe,London,188,0.00
176.116.21.93,2087,80,false,LHR,Europe,London,188,0.00
176.116.21.153,2053,80,false,LHR,Europe,London,188,0.00
176.116.21.141,2095,80,false,LHR,Europe,London,188,0.00
176.116.21.136,2082,80,false,LHR,Europe,London,188,0.00
13.51.138.200,2095,80,false,ARN,Europe,Stockholm,188,0.00
176.116.21.153,2095,80,false,LHR,Europe,London,188,0.00
13.53.47.110,2053,80,false,ARN,Europe,Stockholm,188,0.00
176.116.21.157,2087,80,false,LHR,Europe,London,188,0.00
176.116.21.127,2053,80,false,LHR,Europe,London,189,0.00
13.49.119.167,2086,80,false,ARN,Europe,Stockholm,190,0.00
13.48.36.215,2087,80,false,ARN,Europe,Stockholm,190,0.00
13.51.132.44,80,80,false,ARN,Europe,Stockholm,190,0.00
13.48.140.41,2082,80,false,ARN,Europe,Stockholm,190,0.00
13.48.140.41,2052,80,false,ARN,Europe,Stockholm,190,0.00
13.49.119.167,2052,80,false,ARN,Europe,Stockholm,190,0.00
13.53.47.110,2086,80,false,ARN,Europe,Stockholm,191,0.00
13.53.47.110,2082,80,false,ARN,Europe,Stockholm,191,0.00
18.192.93.64,80,80,false,FRA,Europe,Frankfurt,191,0.00
18.194.89.84,80,80,false,FRA,Europe,Frankfurt,193,0.00
15.161.74.249,2083,80,false,MXP,Europe,Milan,194,0.00
52.25.147.154,2095,80,false,ORD,North America,Chicago,207,0.00
13.48.140.41,2083,80,false,ARN,Europe,Stockholm,207,0.00
13.53.47.110,2096,80,false,ARN,Europe,Stockholm,207,0.00
13.49.6.192,2082,80,false,ARN,Europe,Stockholm,207,0.00
13.48.140.41,2087,80,false,ARN,Europe,Stockholm,208,0.00
13.49.119.167,2087,80,false,ARN,Europe,Stockholm,208,0.00
13.53.47.110,2052,80,false,ARN,Europe,Stockholm,209,0.00
13.49.119.167,2082,80,false,ARN,Europe,Stockholm,210,0.00
13.49.119.167,2083,80,false,ARN,Europe,Stockholm,210,0.00
52.25.147.154,2086,80,false,ORD,North America,Chicago,210,0.00
13.48.36.215,2082,80,false,ARN,Europe,Stockholm,210,0.00
13.53.47.110,2087,80,false,ARN,Europe,Stockholm,212,0.00
13.246.85.121,2086,80,false,CPT,Africa,Cape Town,295,0.00
13.246.85.121,2095,80,false,CPT,Africa,Cape Town,300,0.00
13.246.85.121,2082,80,false,CPT,Africa,Cape Town,300,0.00
13.245.152.196,2096,80,false,CPT,Africa,Cape Town,301,0.00
13.245.152.196,2082,80,false,CPT,Africa,Cape Town,301,0.00
13.246.85.121,2096,80,false,CPT,Africa,Cape Town,302,0.00
13.246.85.121,2083,80,false,CPT,Africa,Cape Town,304,0.00
13.246.85.121,2052,80,false,CPT,Africa,Cape Town,304,0.00
13.245.152.196,2053,80,false,CPT,Africa,Cape Town,305,0.00
13.245.152.196,2095,80,false,CPT,Africa,Cape Town,317,0.00
13.245.152.196,2086,80,false,CPT,Africa,Cape Town,321,0.00
13.246.85.121,2053,80,false,CPT,Africa,Cape Town,321,0.00
